Year,Industry,Gas Type,Gas Name,Emissions,,,,,
1999,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,436.8",,,,,
1999,Other service activities,CO2,Carbon Dioxide,"1,246.4",,,,,
1999,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,48.8,,,,,
1999,Consumer expenditure,CO2,Carbon Dioxide,"150,528.2",,,,,
2000,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"7,371.3",,,,,
2000,Mining and quarrying,CO2,Carbon Dioxide,"27,821.5",,,,,
2000,Manufacturing,CO2,Carbon Dioxide,"127,334.9",,,,,
2000,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"167,604.4",,,,,
2000,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"4,122.4",,,,,
2000,Construction,CO2,Carbon Dioxide,"11,231.3",,,,,
2000,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"12,870.4",,,,,
2000,Transport and storage,CO2,Carbon Dioxide,"92,369.0",,,,,
2000,Accommodation and food services,CO2,Carbon Dioxide,"3,653.8",,,,,
2000,Information and communication,CO2,Carbon Dioxide,"1,278.8",,,,,
2000,Financial and insurance activities,CO2,Carbon Dioxide,336.7,,,,,
2000,Real estate activities,CO2,Carbon Dioxide,871.7,,,,,
2000,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,629.0",,,,,
2000,Administrative and support service activities,CO2,Carbon Dioxide,"3,129.2",,,,,
2000,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"8,981.8",,,,,
2000,Education,CO2,Carbon Dioxide,"4,562.4",,,,,
2000,Human health and social work activities,CO2,Carbon Dioxide,"4,293.5",,,,,
2000,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,439.6",,,,,
2000,Other service activities,CO2,Carbon Dioxide,"1,266.6",,,,,
2000,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,58.5,,,,,
2000,Consumer expenditure,CO2,Carbon Dioxide,"150,682.3",,,,,
2001,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"7,240.4",,,,,
2001,Mining and quarrying,CO2,Carbon Dioxide,"28,715.7",,,,,
2001,Manufacturing,CO2,Carbon Dioxide,"122,060.9",,,,,
